time,altitude
200,-0.317792
400,-0.296653
600,-0.254377
800,-0.254377
1000,-0.254377
1200,-0.233239
1400,-0.212101
1600,-0.169824
1800,-0.148686
2000,-0.0641333
2200,-0.000718698
2400,0.157818
2600,0.316354
2800,0.422045
3000,0.548874
3200,0.686272
3400,0.83424
3600,1.02448
3800,1.13017
4000,1.257
4200,1.36269
4400,1.45782
4600,1.56351
4800,1.64806
5000,1.74318
5200,1.81717
5400,1.85944
5600,1.93343
5800,1.94399
6000,1.9757
6200,1.9757
6400,1.98627
6600,1.98627
6800,1.99684
7000,2.00741
7200,2.00741
7400,1.98627
7600,1.9757
7800,1.9757
8000,1.95456
8200,1.92286
8400,1.88058
8600,1.88058
8800,1.8383
9000,1.79603
9200,1.76432
9400,1.70091
9600,1.64806
9800,1.59521
10000,1.52123
10200,1.42611
10400,1.35213
10600,1.24643
10800,1.18302
11000,1.0879
11200,0.971638
11400,0.844809
11600,0.760256
11800,0.675703
12000,0.60172
12200,0.527736
12400,0.453752
12600,0.443183
12800,0.432614
13000,0.411476
13200,0.390338
13400,0.379769
13600,0.358631
13800,0.379769
14000,0.358631
14200,0.348061
14400,0.316354
14600,0.326923
14800,0.316354
15000,0.337492
15200,0.337492
15400,0.316354
15600,0.305785
15800,0.316354
16000,0.326923
16200,0.337492
16400,0.348061
16600,0.348061
16800,0.337492
17000,0.305785
17200,0.316354
17400,0.326923
17600,0.337492
17800,0.400907
18000,0.517167
18200,0.622858
18400,0.71798
18600,0.876516
18800,1.07733
19000,1.19359
19200,1.34156
19400,1.47895
19600,1.61635
19800,1.77489
20000,1.84887
20200,1.92286
20400,2.00741
20600,2.07082
20800,2.09196
21000,2.09196
21200,2.09196
21400,2.12367
21600,2.13424
21800,2.16595
22000,2.16595
22200,2.16595
22400,2.16595
22600,2.15538
22800,2.12367
23000,2.07082
23200,1.9757
23400,1.87001
23600,1.70091
23800,1.59521
24000,1.42611
24200,1.30985
24400,1.14074
24600,0.961069
24800,0.760256
25000,0.612289
25200,0.411476
25400,0.305785
25600,0.189525
25800,0.0838341
26000,-0.0218569
26200,-0.10641
26400,-0.169824
26600,-0.233239
26800,-0.275515
27000,-0.296653
27200,-0.296653
27400,-0.317792
27600,-0.33893
27800,-0.360068
28000,-0.381206
28200,-0.360068
28400,-0.360068
28600,-0.317792
28800,-0.254377
29000,-0.148686
29200,-0.0429951
29400,0.073265
29600,0.221232
29800,0.422045
30000,0.559443
30200,0.686272
30400,0.83424
30600,0.939931
30800,1.05619
31000,1.21473
31200,1.28871
31400,1.37326
31600,1.41554
31800,1.43668
32000,1.47895
32200,1.48952
32400,1.52123
32600,1.52123
32800,1.51066
33000,1.50009
33200,1.51066
33400,1.50009
33600,1.48952
33800,1.44725
34000,1.40497
34200,1.35213
34400,1.30985
34600,1.26757
34800,1.19359
35000,1.13017
35200,1.06676
35400,0.982207
35600,0.897654
35800,0.791963
36000,0.633427
36200,0.548874
36400,0.432614
36600,0.326923
36800,0.221232
37000,0.12611
37200,0.0521268
37400,-0.0218569
37600,-0.0429951
37800,-0.0852714
38000,-0.10641
38200,-0.127548
38400,-0.127548
38400,-0.127548
38600,-0.127548
38800,-0.148686
39000,-0.127548
39200,-0.10641
39400,-0.127548
39600,-0.127548
39800,-0.169824
40000,-0.148686
40200,-0.148686
40400,-0.148686
40600,-0.127548
40800,-0.10641
41000,-0.0218569
41200,0.073265
41400,0.200094
41600,0.316354
41800,0.443183
42000,0.570012
42200,0.739118
42400,0.887085
42600,1.02448
42800,1.18302
43000,1.30985
43200,1.44725
43400,1.56351
43600,1.6692
43800,1.75375
44000,1.84887
44200,1.89115
44400,1.93343
44600,1.9757
44800,2.07082
45000,2.08139
45200,2.12367
45400,2.14481
45600,2.15538
45800,2.14481
46000,2.14481
46200,2.13424
46400,2.14481
46600,2.15538
46800,2.17651
47000,2.20822
47200,2.20822
47400,2.18708
47600,2.20822
47800,2.15538
48000,2.09196
48200,2.04969
48400,1.95456
48600,1.88058
48800,1.78546
49000,1.69034
49200,1.60578
49400,1.50009
49400,1.45782
49600,1.30985
49800,1.18302
50000,1.05619
50200,0.908223
50400,0.781394
50600,0.675703
50800,0.580581
51000,0.453752
51200,0.379769
51400,0.348061
51600,0.295216
51800,0.263509
52000,0.274078
52200,0.231801
52400,0.200094
52600,0.168387
52800,0.157818
53000,0.178956
53200,0.200094
53400,0.200094
53600,0.210663
53800,0.200094
54000,0.221232
54200,0.221232
54400,0.231801
54600,0.284647
54800,0.337492
55000,0.390338
55200,0.474891
55400,0.570012
55600,0.696841
55800,0.770825
56000,0.897654
56200,0.982207
56400,1.07733
56600,1.17245
56800,1.257
57000,1.37326
57200,1.48952
57400,1.54237
57600,1.61635
57800,1.67977
58000,1.72204
58200,1.75375
58400,1.76432
58600,1.76432
58800,1.76432
59000,1.78546
59200,1.76432
59400,1.81717
59600,1.87001
59800,1.89115
60000,1.88058
