time,altitude
200,-0.360547
400,-0.381685
600,-0.402823
800,-0.402823
1000,-0.402823
1200,-0.381685
1400,-0.360547
1600,-0.381685
1800,-0.381685
2000,-0.381685
2200,-0.381685
2400,-0.402823
2600,-0.402823
2800,-0.4451
3000,-0.4451
3200,-0.466238
3400,-0.508514
3600,-0.571929
3800,-0.571929
4000,-0.593067
4200,-0.656482
4400,-0.698758
4600,-0.698758
4800,-0.698758
5000,-0.698758
5200,-0.719896
5400,-0.783311
5600,-0.825587
5800,-0.867864
6000,-0.889002
6200,-0.91014
6400,-0.952416
6600,-1.03697
6800,-1.07925
7000,-1.12152
7200,-1.12152
7400,-1.14266
7600,-1.1638
7800,-1.22721
8000,-1.24835
8200,-1.31177
8400,-1.37518
8600,-1.41746
8800,-1.45973
9000,-1.45973
9200,-1.41746
9400,-1.43859
9600,-1.43859
9800,-1.45973
10000,-1.48087
10200,-1.45973
10400,-1.50201
10600,-1.50201
10800,-1.50201
11000,-1.48087
11200,-1.48087
11400,-1.52315
11600,-1.50201
11800,-1.48087
12000,-1.48087
12200,-1.43859
12400,-1.41746
12600,-1.39632
12800,-1.35404
13000,-1.35404
13200,-1.31177
13400,-1.31177
13600,-1.31177
13800,-1.31177
14000,-1.26949
14200,-1.22721
14400,-1.22721
14600,-1.22721
14800,-1.18494
15000,-1.1638
15400,-1.07925
15600,-1.05811
15800,-1.01583
16000,-0.931278
16200,-0.867864
16400,-0.846725
16600,-0.762173
16800,-0.741035
17000,-0.656482
17200,-0.614205
17400,-0.529653
17600,-0.487376
17800,-0.381685
18000,-0.360547
18200,-0.297132
18400,-0.233718
18600,-0.191442
18800,-0.128027
19000,-0.0646124
19200,-0.00119783
19400,0.104493
19600,0.178477
19800,0.220753
20000,0.263029
20200,0.347582
20400,0.421566
20600,0.49555
20800,0.590672
21000,0.675224
21200,0.72807
21400,0.791484
21600,0.84433
21800,0.886606
22000,0.907744
22200,0.918314
22400,0.939452
22600,0.971159
22800,1.05571
23000,1.11913
23200,1.17197
23400,1.23539
23600,1.28823
23800,1.36222
24000,1.41506
24200,1.44677
24400,1.47848
24600,1.51018
24800,1.58417
25000,1.63701
25200,1.64758
25400,1.711
25600,1.73213
25800,1.77441
26000,1.78498
26200,1.83782
26400,1.81669
26600,1.8801
26800,1.96465
27000,2.00693
27200,2.04921
27400,2.12319
27600,2.14433
27800,2.20774
28000,2.25002
28200,2.324
28400,2.37685
28600,2.39799
28800,2.50368
29000,2.54595
29200,2.56709
29400,2.66221
29600,2.69392
29800,2.71506
30000,2.74677
30200,2.83132
30400,2.84189
30600,2.8736
30800,2.9053
31000,2.9053
31200,2.9053
31400,2.93701
31600,2.95815
31800,2.98986
32000,2.97929
32200,3.01099
32400,3.05327
32600,3.06384
32800,3.09555
33000,3.11668
33200,3.1801
33400,3.22238
33600,3.25408
33800,3.28579
34000,3.34921
34200,3.37034
34400,3.46547
34600,3.50774
34800,3.55002
35000,3.59229
35200,3.65571
35400,3.74026
35600,3.82481
35800,3.8988
36000,3.98335
36200,4.04676
36400,4.14189
36600,4.21587
36800,4.24758
37000,4.28985
37200,4.3427
37400,4.41668
37600,4.49067
37800,4.63863
38000,4.68091
38200,4.76546
38400,4.85002
38600,4.89229
38800,4.924
39000,5.0614
39200,5.14595
39400,5.20937
39600,5.28335
39800,5.38904
40000,5.47359
40200,5.52644
40400,5.62156
40600,5.68497
40800,5.73782
41000,5.74839
41200,5.79067
41400,5.89636
41600,5.92806
41800,5.93863
42000,5.97034
42200,5.99148
42400,6.05489
42600,6.10774
42800,6.15001
43000,6.20286
43200,6.25571
43400,6.32969
43600,6.37197
43800,6.44595
44000,6.46709
44200,6.51993
44400,6.58335
44600,6.65733
44800,6.68904
45000,6.76302
45200,6.8053
45400,6.82644
45600,6.85814
45800,6.90042
46000,6.95327
46200,6.97441
46400,7.00611
46600,7.02725
46800,7.04839
47000,7.1118
47200,7.15408
47400,7.20692
47600,7.29148
47800,7.35489
48000,7.39717
48200,7.41831
48400,7.41831
48800,7.47115
49000,7.524
49200,7.524
49400,7.51343
49600,7.53457
49800,7.5557
50000,7.59798
50200,7.60855
50400,7.60855
50600,7.64026
50800,7.71424
51000,7.74595
51200,7.78823
51400,7.85164
51600,7.8305
51800,7.81993
52000,7.81993
52200,7.78823
52400,7.76709
52600,7.77766
52800,7.76709
53000,7.78823
53200,7.78823
53400,7.80936
53600,7.79879
53800,7.79879
54000,7.79879
54200,7.8305
54400,7.80936
54600,7.78823
54800,7.81993
55000,7.78823
55200,7.79879
55400,7.81993
55600,7.85164
55800,7.84107
56000,7.85164
56200,7.86221
56400,7.90449
56600,7.92562
56800,7.94676
57000,7.97847
57200,7.95733
57400,7.93619
57600,7.94676
57800,7.9679
58000,7.9679
58200,7.9679
58400,7.9679
58600,8.02074
58800,8.06302
59000,8.06302
59200,8.05245
59400,8.02074
59600,8.02074
59800,7.98904
60000,8.01017
