time,altitude
500,-0.718699
1000,-0.760975
1500,-0.782113
2000,-0.782113
2500,-0.803251
3000,-0.824389
3500,-0.866666
4000,-0.887804
4500,-0.887804
5000,-0.887804
5500,-0.93008
6000,-0.93008
6500,-0.951219
7000,-0.993495
7500,-1.01463
8000,-0.993495
8500,-1.01463
9000,-1.03577
9500,-1.03577
10000,-1.03577
10500,-1.05691
11000,-1.09919
11000,-1.09919
11500,-1.12032
12000,-1.14146
12500,-1.18374
13000,-1.20488
13500,-1.20488
14000,-1.20488
14500,-1.20488
15000,-1.22602
15500,-1.22602
16000,-1.24715
16500,-1.22602
17000,-1.24715
17500,-1.26829
18000,-1.26829
18500,-1.28943
19000,-1.31057
19500,-1.35284
20000,-1.37398
20500,-1.41626
21000,-1.41626
21500,-1.4374
22000,-1.4374
22500,-1.39512
23000,-1.39512
23500,-1.35284
24000,-1.33171
24500,-1.33171
25000,-1.31057
25500,-1.31057
26000,-1.33171
26500,-1.33171
27000,-1.33171
27500,-1.35284
28000,-1.35284
28500,-1.37398
29000,-1.37398
29500,-1.37398
30000,-1.35284
30500,-1.35284
31000,-1.33171
31500,-1.31057
32000,-1.33171
32500,-1.33171
33000,-1.33171
33500,-1.33171
34000,-1.35284
34500,-1.35284
35000,-1.37398
35500,-1.4374
36000,-1.47967
36500,-1.47967
37000,-1.50081
37500,-1.54309
38000,-1.56423
38500,-1.58536
39000,-1.58536
39500,-1.58536
40000,-1.58536
40500,-1.58536
41000,-1.56423
41500,-1.54309
42000,-1.52195
42500,-1.52195
43000,-1.52195
43500,-1.52195
44000,-1.52195
44500,-1.54309
45000,-1.56423
45500,-1.6065
46000,-1.66992
46500,-1.73333
47000,-1.79675
47500,-1.90244
48000,-1.90244
48500,-2.00813
49000,-2.09268
49500,-2.1561
50000,-2.19837
50500,-2.24065
51000,-2.26179
51500,-2.26179
52000,-2.28292
52500,-2.30406
53000,-2.30406
53500,-2.30406
54000,-2.30406
54500,-2.28292
55000,-2.24065
55500,-2.24065
56000,-2.21951
56500,-2.19837
57000,-2.1561
57500,-2.11382
58000,-2.09268
58500,-2.07154
59000,-2.07154
59500,-2.0504
60000,-2.0504
60500,-2.0504
61000,-2.02927
61500,-1.98699
62000,-1.94471
62500,-1.92358
63000,-1.92358
63500,-1.90244
64000,-1.90244
64500,-1.8813
65000,-1.83902
65500,-1.79675
66000,-1.77561
66500,-1.75447
67000,-1.75447
67500,-1.75447
68000,-1.75447
68500,-1.73333
69000,-1.69106
69500,-1.66992
70000,-1.64878
70500,-1.62764
71000,-1.62764
71500,-1.6065
72000,-1.58536
72500,-1.62764
73000,-1.6065
73500,-1.6065
74000,-1.6065
74500,-1.62764
75000,-1.62764
75500,-1.62764
76000,-1.62764
76500,-1.66992
77000,-1.71219
77500,-1.77561
78000,-1.86016
78500,-1.86016
79000,-1.92358
79500,-2.00813
80000,-2.09268
80500,-2.13496
81000,-2.1561
81500,-2.17723
82000,-2.17723
82500,-2.17723
83000,-2.1561
83500,-2.13496
83500,-2.13496
84000,-2.13496
84500,-2.09268
85000,-2.07154
85500,-2.0504
86000,-1.98699
86500,-1.98699
87000,-1.94471
87500,-1.90244
88000,-1.86016
88500,-1.81788
89000,-1.77561
89500,-1.71219
90000,-1.71219
90500,-1.69106
91000,-1.64878
91500,-1.6065
92000,-1.58536
92500,-1.54309
93000,-1.52195
93500,-1.50081
94000,-1.50081
94500,-1.47967
95000,-1.47967
95500,-1.47967
96000,-1.47967
96500,-1.47967
97000,-1.47967
97500,-1.47967
98000,-1.47967
98500,-1.45854
99000,-1.50081
99500,-1.50081
100000,-1.50081
100500,-1.50081
101000,-1.50081
101500,-1.47967
102000,-1.47967
102500,-1.50081
103000,-1.50081
103500,-1.50081
104000,-1.50081
104500,-1.47967
105000,-1.47967
105500,-1.47967
106000,-1.50081
106500,-1.50081
107000,-1.50081
107500,-1.54309
108000,-1.56423
108500,-1.58536
109000,-1.58536
109500,-1.6065
110000,-1.62764
110500,-1.62764
111000,-1.62764
111500,-1.64878
112000,-1.64878
112500,-1.64878
113000,-1.64878
113500,-1.64878
114000,-1.66992
114500,-1.69106
115000,-1.71219
115500,-1.73333
116000,-1.75447
116500,-1.75447
117000,-1.77561
117500,-1.79675
118000,-1.79675
118500,-1.81788
119000,-1.81788
119500,-1.83902
120000,-1.83902
