time,altitude
200,0.180097
400,0.169528
600,0.180097
800,0.14839
1000,0.137821
1200,0.0744064
1400,0.0532682
1600,0.0426991
1800,0.0109919
2000,0.0109919
2200,0.0426991
2400,0.0532682
2600,0.0532682
2800,0.0744064
3000,0.0744064
3200,0.0532682
3400,0.0744064
3600,0.0638373
3800,0.0955446
4000,0.0955446
4200,0.0955446
4400,0.0638373
4600,0.0638373
4800,0.0744064
5000,0.0638373
5200,0.0638373
5400,0.0744064
5600,0.0849755
5800,0.0955446
6000,0.106114
6200,0.106114
6400,0.106114
6600,0.137821
6800,0.158959
7000,0.190666
7200,0.201236
7400,0.201236
7600,0.222374
7800,0.26465
8000,0.275219
8200,0.306926
8400,0.296357
8600,0.296357
8800,0.296357
9000,0.306926
9200,0.254081
9400,0.254081
9600,0.232943
9800,0.232943
10000,0.243512
10200,0.254081
10400,0.26465
10600,0.26465
10800,0.275219
11000,0.26465
11200,0.243512
11400,0.254081
11600,0.232943
11800,0.232943
12000,0.190666
12200,0.14839
12400,0.137821
12600,0.0955446
12800,0.0955446
13000,0.0849755
13200,0.116683
13400,0.116683
13800,0.137821
14000,0.137821
14200,0.180097
14400,0.180097
14600,0.169528
14800,0.158959
15000,0.137821
15200,0.14839
15400,0.137821
15600,0.14839
15800,0.14839
16000,0.14839
16200,0.169528
16400,0.169528
16800,0.201236
17000,0.201236
17200,0.222374
17400,0.254081
17600,0.243512
17800,0.232943
18000,0.201236
18200,0.211805
18400,0.222374
18600,0.211805
18800,0.222374
19000,0.222374
19200,0.232943
19400,0.222374
19600,0.243512
19800,0.222374
20000,0.232943
20200,0.243512
20400,0.222374
20600,0.232943
20800,0.211805
21000,0.190666
21200,0.14839
21400,0.158959
21600,0.14839
21800,0.137821
22000,0.116683
22200,0.137821
22400,0.158959
22600,0.201236
22800,0.222374
23000,0.232943
23200,0.211805
23400,0.201236
23600,0.180097
23800,0.158959
24000,0.137821
24200,0.106114
24400,0.116683
24600,0.116683
24800,0.106114
25000,0.0955446
25200,0.0849755
25400,0.106114
25600,0.127252
25800,0.137821
26000,0.127252
26200,0.116683
26400,0.127252
26600,0.116683
26800,0.137821
27000,0.137821
27200,0.127252
27400,0.137821
27600,0.169528
27800,0.211805
28000,0.211805
28200,0.222374
28400,0.232943
28600,0.243512
28800,0.243512
29000,0.243512
29200,0.26465
29400,0.275219
29600,0.26465
29800,0.26465
30000,0.26465
30200,0.254081
30400,0.254081
30600,0.26465
30800,0.254081
31000,0.254081
31200,0.232943
31400,0.232943
31600,0.211805
31800,0.180097
32000,0.180097
32200,0.180097
32400,0.158959
32600,0.137821
32800,0.14839
33000,0.137821
33200,0.137821
33400,0.106114
33600,0.106114
33800,0.116683
34000,0.106114
34200,0.0849755
34400,0.116683
34600,0.106114
34800,0.0849755
35000,0.0426991
35200,0.0532682
35400,0.0638373
35600,0.0638373
35800,0.0532682
36000,0.0638373
36200,0.0849755
36400,0.0849755
36600,0.106114
36800,0.0955446
37000,0.0744064
37200,0.0426991
37400,0.03213
37600,0.021561
37800,0.021561
38000,0.021561
38200,0.021561
38400,0.03213
38600,0.0532682
38800,0.03213
39000,-0.0207154
39200,-0.0207154
39400,-0.0629918
39600,-0.08413
39800,-0.105268
40000,-0.126406
40200,-0.147545
40400,-0.147545
40600,-0.168683
40800,-0.168683
41000,-0.189821
41200,-0.210959
41400,-0.210959
41600,-0.210959
41800,-0.210959
42000,-0.232097
42200,-0.210959
42400,-0.253235
42600,-0.274374
42800,-0.274374
43000,-0.295512
43200,-0.31665
43400,-0.337788
43600,-0.337788
43800,-0.380065
44000,-0.380065
44200,-0.401203
44400,-0.380065
44600,-0.380065
44800,-0.401203
45000,-0.443479
45200,-0.464617
45400,-0.506894
45600,-0.506894
45800,-0.528032
46000,-0.54917
46200,-0.570308
46400,-0.591446
46600,-0.612585
46800,-0.612585
47000,-0.633723
47200,-0.612585
47400,-0.612585
47600,-0.570308
47800,-0.54917
48000,-0.506894
48200,-0.485756
48400,-0.485756
48600,-0.506894
48800,-0.506894
49000,-0.485756
49200,-0.485756
49400,-0.443479
49600,-0.443479
49800,-0.401203
50000,-0.380065
50200,-0.401203
50400,-0.401203
50600,-0.422341
50800,-0.422341
51000,-0.401203
51200,-0.401203
51400,-0.358926
51600,-0.31665
51800,-0.295512
52000,-0.274374
52200,-0.232097
52400,-0.168683
52600,-0.168683
52800,-0.147545
53000,-0.147545
53200,-0.147545
53400,-0.168683
53600,-0.168683
53800,-0.168683
54000,-0.126406
54200,-0.147545
54400,-0.147545
54600,-0.126406
54800,-0.126406
55000,-0.147545
55200,-0.147545
55400,-0.168683
55600,-0.168683
55800,-0.189821
56000,-0.210959
56200,-0.210959
56400,-0.210959
56600,-0.168683
56800,-0.168683
57000,-0.210959
57200,-0.189821
57400,-0.189821
57600,-0.168683
57800,-0.168683
58000,-0.147545
58200,-0.147545
58400,-0.126406
58600,-0.147545
58800,-0.147545
59000,-0.189821
59200,-0.189821
59400,-0.168683
59600,-0.189821
59800,-0.210959
60000,-0.189821
