time,altitude
0,0.275712
500,0.117176
1000,0.117176
1500,0.117176
2000,0.148883
2500,0.180591
3000,0.201729
3500,0.265143
4000,0.265143
4500,0.106607
5000,0.127745
5500,0.0854687
6000,0.233436
6500,0.0326233
7000,0.254574
7500,0.148883
8000,0.0643305
8500,0.138314
9000,0.180591
9500,0.296851
10000,0.180591
10500,0.0537615
11000,0.106607
11500,0.0960378
12000,0.0854687
12500,0.127745
13000,0.0326233
13500,-0.0413604
14000,0.0114851
14500,-0.0202222
15000,0.000915988
15500,0.0431924
16000,0.0220542
16500,0.000915988
17000,0.0114851
17500,-0.0413604
18000,-0.0202222
18500,0.0960378
19000,-0.0202222
19500,-0.0836368
20000,-0.0202222
20500,-0.104775
21000,-0.125913
21500,-0.0624986
22000,0.0537615
22500,-0.0413604
23000,-0.189328
23500,2.537
