time,altitude
0,-0.063485
500,-0.148038
1000,-0.0423468
1500,-0.0212087
2000,-0.0423468
2500,0.0316368
3000,-0.0212087
3500,-0.063485
4000,-0.0212087
4500,-0.0212087
5000,-0.063485
5500,0.0739132
6000,-0.0423468
6500,-0.105761
7000,-0.0846232
7500,0.0422059
8000,-0.063485
8500,-0.0423468
9000,-0.0423468
9500,-0.0846232
10000,-7.04606e-05
10500,-0.0423468
11000,-0.0212087
11500,0.0104986
12000,0.11619
12500,0.0104986
13000,0.0422059
13500,0.126759
14000,0.0950514
14500,0.0316368
15000,0.0633441
15500,0.0422059
16000,-7.04606e-05
16500,-0.0212087
17000,0.0316368
17500,-0.0846232
18000,-0.1269
18500,-0.169176
19000,-0.105761
19500,-0.1269
20000,-0.1269
20500,-0.148038
21000,-0.253729
21500,-0.0212087
22000,-0.063485
22500,-0.0212087
23000,-0.1269
23500,-0.0423468
24000,0.0739132
24500,0.0316368
25000,-0.105761
25500,0.0210677
26000,0.0844823
26500,-7.04606e-05
27000,-0.1269
27500,-0.0212087
28000,-0.0423468
28500,-0.063485
29000,0.0316368
29500,0.0104986
30000,0.0422059
30500,0.0950514
31000,-7.04606e-05
31500,0.137328
32000,0.126759
32500,0.190173
33000,0.200742
33500,0.126759
34000,0.0633441
34500,0.0104986
35000,0.0316368
35500,0.0739132
36000,0.0633441
36500,0.137328
37000,0.0633441
37500,-7.04606e-05
38000,-7.04606e-05
38500,0.126759
39000,0.147897
39500,0.0739132
40000,0.052775
40500,0.052775
41000,-0.0423468
41500,0.0316368
42000,0.0422059
42500,0.11619
43000,-0.105761
43500,-0.063485
44000,-0.0846232
44500,0.0844823
45000,-0.0846232
45500,-0.148038
46000,-0.0423468
46500,-0.0423468
47000,-0.0423468
47500,0.0633441
48000,0.0633441
48500,0.0844823
49000,-0.0423468
49500,0.0422059
50000,-0.0846232
50500,-0.105761
51000,-0.0212087
51500,0.0104986
52000,-0.063485
52500,-0.1269
53000,-0.148038
53500,-0.105761
54000,0.0422059
54500,0.0422059
55000,0.10562
55500,0.0844823
56000,0.0422059
56500,0.0633441
57000,0.147897
57500,0.0739132
58000,0.0739132
58500,-0.0212087
59000,0.0210677
59500,0.126759
60000,0.169035
60500,0.0844823
61000,0.0950514
61500,0.10562
62000,0.11619
62500,0.11619
63000,0.0422059
63500,0.11619
64000,0.22188
64500,0.126759
65000,0.0316368
65500,-7.04606e-05
66000,-0.0423468
66500,-0.063485
67000,-0.0423468
67500,0.0104986
68000,0.22188
68500,0.22188
69000,0.200742
69500,0.0104986
70000,0.126759
70500,0.158466
71000,0.211311
71500,0.169035
72000,0.200742
72500,0.179604
73000,0.359279
73500,0.200742
74000,0.169035
74500,0.0739132
75000,0.158466
75500,0.147897
76000,0.179604
76500,0.10562
77000,0.126759
77500,0.158466
78000,0.0210677
78500,0.0739132
79000,0.0844823
79500,0.126759
80000,0.147897
80500,0.10562
81000,0.10562
81500,0.0739132
82000,0.052775
82500,-7.04606e-05
83000,-0.0423468
83500,0.0104986
84000,0.10562
84500,0.190173
85000,0.052775
85500,0.0316368
86000,0.10562
86500,-0.0212087
87000,0.0950514
87500,0.0739132
88000,0.211311
88500,0.11619
89000,0.0104986
89500,0.0844823
90000,0.147897
90500,0.22188
91000,0.264157
91500,0.200742
92000,0.264157
92500,0.264157
93000,0.0422059
93500,0.137328
94000,0.23245
94500,0.359279
95000,0.285295
95500,0.158466
96000,0.11619
96500,0.137328
97000,0.0316368
97500,0.0950514
98000,0.0844823
98500,0.0422059
99000,0.200742
99500,0.190173
100000,0.211311
100500,0.243019
101000,0.23245
101500,0.295864
102000,0.264157
102500,0.0739132
103000,0.0210677
103500,0.0739132
104000,0.0422059
104500,0.126759
105000,0.23245
105500,0.190173
106000,0.253588
106500,0.274726
107000,0.264157
107500,0.10562
108000,0.264157
108500,0.243019
109000,0.158466
109500,0.0950514
110000,0.11619
110500,0.169035
111000,0.179604
111500,0.190173
112000,0.158466
112500,0.23245
113000,0.0316368
113500,0.11619
114000,0.147897
114500,0.253588
115000,0.22188
115500,0.126759
116000,0.147897
116500,0.179604
117000,0.190173
117500,0.10562
118000,0.0950514
118500,0.0104986
119000,-7.04606e-05
119500,0.0739132
120000,0.22188
120500,0.126759
121000,0.211311
121500,0.147897
122000,0.137328
122500,0.0739132
123000,0.10562
123500,0.10562
124000,0.169035
124500,0.22188
125000,0.200742
